,ale_score,abe_score,u_score,seq_score,u_average,a_average,g_average,c_average,BSP,BSlen,sRNA_MFE,mRNA_MFE,FA,After_BSP_sRNA_Ale,After_BSP_sRNA_Abe,Before_BSP_sRNA_Ale,Before_BSP_sRNA_Abe,After_BSP_sRNA_len,Before_BSP_sRNA_len,HE,is_upreg
14,-0.2722868882,-0.2312577833,1.904347826,0.03473972603,0.3150684932,0.2602739726,0.2054794521,0.2191780822,376,14,0.0,0.0,134.4894083,-0.2243436146165891,-0.3288461538461539,0.0,0.0,52.0,4.0,-10.76,0
15,-0.2722868882,-0.2312577833,1.904347826,0.03473972603,0.3150684932,0.2602739726,0.2054794521,0.2191780822,-93,8,0.0,0.0,54.96943627,-0.2285168409705369,-0.2698924731182796,0.0,0.0,62.0,2.0,-14.98,0
16,-0.2722868882,-0.2312577833,1.904347826,0.03473972603,0.3150684932,0.2602739726,0.2054794521,0.2191780822,125,13,0.0,0.0,119.7698957,-0.2243436146165891,-0.33529411764705885,0.0,0.0,51.0,7.0,-12.51,0
17,-0.2722868882,-0.2312577833,1.904347826,0.03473972603,0.3150684932,0.2602739726,0.2054794521,0.2191780822,51,7,0.0,0.0,44.98997633,-0.22563490521135088,-0.2760245901639344,0.0,0.0,61.0,3.0,-9.59,0
18,-0.1215277778,-0.36,2.0,0.0405875,0.35,0.1875,0.1875,0.275,23,5,0.0,0.0,27.98789492,-0.11550127761049551,-0.3283018867924528,0.4305555555555555,0.04920634920634921,53.0,21.0,-10.41,0
19,-0.1646575497,-0.3102727273,2.346666667,0.02356818182,0.3409090909,0.1590909091,0.25,0.25,1035,12,0.0,-0.6000000238,103.1066904,-0.14922955315191416,-0.3654285714285714,1.0,1.0,75.0,0.0,-10.59,0
20,-0.1646575497,-0.3102727273,2.346666667,0.02356818182,0.3409090909,0.1590909091,0.25,0.25,-145,10,0.0,0.0,77.95752967,-0.13744748411866425,-0.3483333333333334,0.0,0.0,70.0,5.0,-11.28,0
21,-0.1646575497,-0.3102727273,2.346666667,0.02356818182,0.3409090909,0.1590909091,0.25,0.25,-18,8,0.0,-0.1000000015,54.06345487,-0.1499700322273937,-0.3448523206751055,1.0,1.0,79.0,0.0,-12.98,0
22,-0.205523197,-0.2804091267,2.852173913,0.01075609756,0.2804878049,0.243902439,0.2682926829,0.2073170732,780,4,0.0,0.0,20.99733058,-0.19729300365352057,-0.303996003996004,1.0,1.0,77.0,0.0,-6.78,0
23,-0.205523197,-0.2804091267,2.852173913,0.01075609756,0.2804878049,0.243902439,0.2682926829,0.2073170732,21,6,0.0,0.0,35.99528363,-0.21693862227754807,-0.27710371819960866,0.0,0.0,73.0,2.0,0.79,0
24,-0.205523197,-0.2804091267,2.852173913,0.01075609756,0.2804878049,0.243902439,0.2682926829,0.2073170732,-18,8,0.0,-0.1000000015,54.06345487,-0.21693862227754807,-0.27710371819960866,1.0,1.0,73.0,0.0,-12.98,0
25,-0.2030498065,-0.2580512821,2.674285714,0.02872649573,0.2991452991,0.2393162393,0.1965811966,0.264957265,443,8,0.0,0.0,54.95624174,-0.08064516129032258,-0.45925925925925926,-0.28253812809324175,-0.20794051627384966,27.0,81.0,-8.21,0
26,-0.2030498065,-0.2580512821,2.674285714,0.02872649573,0.2991452991,0.2393162393,0.1965811966,0.264957265,520,18,0.0,-3.599999905,204.2834052,-0.23550893133594908,-0.18556097560975607,2.5,0.005555555555555556,82.0,18.0,-12.19,0
27,-0.1789252124,-0.2783037975,1.843333333,0.06650632911,0.3797468354,0.1392405063,0.2151898734,0.2658227848,-41,15,0.0,0.0,152.3808483,-0.1447074662176999,-0.3791068580542265,0.0,0.0,57.0,3.0,-14.25,0
28,-0.1789252124,-0.2783037975,1.843333333,0.06650632911,0.3797468354,0.1392405063,0.2151898734,0.2658227848,505,19,0.0,-0.6999999881,226.7357883,-0.1542836233424632,-0.3687005649717514,1.0,1.0,59.0,0.0,-18.8,0
29,-0.1789252124,-0.2783037975,1.843333333,0.06650632911,0.3797468354,0.1392405063,0.2151898734,0.2658227848,-32,23,0.0,0.0,323.6550004,-0.1405259502548367,-0.36781818181818177,0.0,0.0,55.0,1.0,-20.15,0
30,-0.3138915085,-0.1695581015,1.895833333,0.01452307692,0.3692307692,0.1384615385,0.2307692308,0.2615384615,610,12,0.0,0.0,104.8007894,-0.1723424149351255,-0.26818181818181813,0.0,0.0,44.0,7.0,-15.97,0
